Code,MumCode,Sire,Code_anon,MumCode_anon,Sire_anon
TEM16,STN12,D0598,C1560,M0962,D422
TLS16,SCR06,SHAGG,C1284,M0534,D031
TNQ16,GNB07,LAVAL,C2568,M0869,D280
TOK16,SLA07,NA,C2494,M0908,NA
TSU16,MNS03,PLT07,C6025,M0339,D068
TWL16,WIS06,NA,C5534,M0128,NA
ULU16,DID06,SYC00,C5860,M0478,D487
URC16,ANM06,RBY07,C4835,M0361,D264
USS16,MEE05,TWX06,C1379,M0476,D291
VES16,NET02,NEC06,C6047,M0433,D377
VIP16,VES06,ZAPHO,C5558,M0881,D174
VNS16,BUT02,NA,C4597,M0600,NA
VNT16,SWT11,NA,C3260,M0927,NA
WIC16,SOX09,TONKS,C2393,M0127,D360
WLK16,SLL07,STERN,C3227,M0242,D131
WTZ16,TWL10,NA,C4245,M0571,NA
XIN16,MCU12,SLITT,C2037,M0498,D433
ZEP16,WHF07,ZAPHO,C5081,M0097,D174
ALL15,PUF06,FRT05,C4463,M0131,D337
AME15,OPA08,ZAPHO,C2392,M0937,D174
APO15,CHY12,HUGHE,C2452,M0207,D194
ARA15,HED01,STERN,C2370,M0001,D131
ASB15,HOO05,ZAPHO,C1629,M0219,D174
AYE15,MEE03,TRT02,C1580,M1014,D461
BAL15,LUT12,BRAVO,C0802,M0679,D204
BBG15,DID08,DIN10,C0681,M0905,D289
BCA15,CBS09,NA,C1588,M0856,NA
BED15,GYP07,SHAGG,C2655,M0463,D031
BMA15,CHN06,BOBBY,C2768,M0651,D380
BMB15,SSK06,NA,C2594,M0139,NA
BNT15,BMB10,TONKS,C0232,M0049,D360
BOO15,YOG06,TONKS,C2132,M0539,D360
BRY15,HIR03,SCRAT,C3228,M0054,D188
BSG15,VES10,STERN,C5815,M0187,D131
BZK15,LUT10,NA,C0622,M0675,NA
CAM15,MNM07,BOBBY,C0044,M0862,D380
CBH15,CCK07,LAVAL,C5297,M0439,D280
CBS15,ZUC03,BROAD,C4324,M0985,D237
CCH15,PAN06,STERN,C4587,M0848,D131
CDN15,HOC07,SCRAT,C0083,M0007,D188
CET15,RUF02,SARGA,C1068,M0486,D167
CHK15,SOX04,NA,C2920,M0147,NA
CHM15,HOC05,D0539,C1460,M0769,D173
CND15,TIN98,FRT03,C2334,M0085,D269
CSH15,WAL03,RUM04,C4112,M0642,D262
DAK15,SOX08,TTL06,C4797,M0362,D113
DENZE,NA,NA,C1782,NA,NA
DID15,FDL00,BRAVO,C5747,M0101,D204
DRE15,PRC09,NA,C5466,M0391,NA
DUB15,STI02,BRAVO,C0367,M0596,D204
EDA15,CHD05,SARGA,C5410,M1002,D167
EDD15,RUF09,LAURE,C5878,M0480,D097
EKA15,MEE11,TRT02,C5584,M0057,D461
ELA15,ARA11,ZAPHO,C4336,M0671,D174
EMB15,CND04,SHAGG,C5205,M0295,D031
EMU15,LYR12,HIA08,C3145,M0989,D366
FLM15,EMB12,FRT03,C1695,M0879,D269
FLU15,PCO06,ZAPHO,C2429,M0739,D174
GGZ15,CHD10,BRAVO,C1775,M0376,D204
GLR15,LPA02,NA,C2111,M0940,NA
GLZ15,MAJ12,GLR09,C1988,M0099,D117
HAN15,JAE08,FRT03,C1184,M0312,D269
HAZ15,LCH06,NA,C3483,M0017,NA
HDX15,GTR06,BOBBY,C4363,M0232,D380
HEX15,HED08,SEQ07,C2847,M0819,D102
HIM15,OXY06,SPL04,C4832,M0040,D460
HRT15,WAS10,STERN,C2810,M0822,D131
IRI15,AYE09,TRT02,C1227,M0921,D461
JAD15,RBY03,NA,C5543,M0244,NA
JEP15,CHK12,NA,C0500,M0562,NA
KAK15,TUI12,NA,C0583,M0077,NA
KKA15,WAL11,ZAPHO,C3629,M0851,D174
KLN15,PRC12,BOBBY,C0438,M0789,D380
KOH15,AYE10,TRT02,C1274,M0714,D461
LEA15,ORY07,ZAPHO,C0605,M0960,D174
LEI15,RAP06,SHAGG,C2909,M0080,D031
LUT15,FDL03,SARGA,C0877,M0046,D167
MCD15,WAL06,RUM04,C5430,M0319,D262
MCU15,MNG09,SHAGG,C3641,M0452,D031
MDD15,MEG06,KLD06,C5263,M0240,D491
MIC15,SCR04,TTL06,C2124,M0694,D113
MNM15,CHN03,BOBBY,C1986,M0910,D380
MOJ15,GNB10,ZAPHO,C0243,M0381,D174
NAV15,SEQ05,SARGA,C5795,M0458,D167
ONY15,RBY05,ZAPHO,C0590,M0305,D174
PCN15,WAL02,ZAPHO,C5277,M0425,D174
PPL15,FRT07,NA,C5580,M0853,NA
PSE15,WSD12,BOBBY,C1577,M0349,D380
PSS15,CND06,HEL05,C5927,M0492,D083
PUE15,NAV12,SEQ07,C4551,M0689,D102
RAS15,MTT08,TTL06,C1275,M0360,D113
RDD15,CLK04,FRT03,C0247,M0436,D269
SAP15,RBY02,NA,C4153,M0129,NA
SCP15,EID03,HEL05,C5239,M0489,D083
SDY15,RUM09,SEQ07,C0006,M0622,D102
SLK15,RPP11,NA,C1584,M0313,NA
SML15,WHF10,TTL06,C2048,M0284,D113
SOA15,BRY10,D0539,C3346,M0911,D173
SOP15,WLK11,NA,C5666,M0706,NA
SOX15,SEQ01,SEQ07,C3314,M0880,D102
SPA15,PPL12,NA,C4445,M0209,NA
SPY15,RPP08,SARGA,C4258,M0487,D167
STN15,LMS05,D0602,C3226,M0696,D479
SWT15,FRT06,BROAD,C5743,M0382,D237
TEM15,STN12,D0553,C2587,M0962,D015
TLS15,SCR06,SHAGG,C1044,M0534,D031
TOK15,SLA07,UKL08,C3222,M0908,D046
TSU15,MNS03,SCRAT,C5934,M0339,D188
TUCOO,NA,NA,C3097,NA,NA
TWL15,WIS06,KLD06,C5413,M0128,D491
ULU15,DID06,PLT07,C2522,M0478,D068
URC15,ANM06,MOU09,C0163,M0361,D109
USS15,MEE05,SCRAT,C1198,M0476,D188
VES15,NET02,STERN,C2059,M0433,D131
VNS15,BUT02,RUM03,C0545,M0600,D336
VNT15,SWT11,NA,C2271,M0927,NA
WALTE,NA,NA,C3289,NA,NA
WLK15,SLL07,DUB09,C0647,M0242,D284
WTZ15,TWL10,KLD06,C2017,M0571,D491
ABA14,HIA09,ZAPHO,C1602,M0089,D174
ABS14,IVO99,SPD01,C4656,M0549,D053
ARE14,PCN10,STERN,C3130,M0566,D131
ARNIE,NA,NA,C0430,NA,NA
ASB14,HOO05,SPD01,C5722,M0219,D053
BCA14,CBS09,LAPHR,C5305,M0856,D405
BED14,GYP07,LAPHR,C3259,M0463,D405
BMB14,SSK06,NA,C3774,M0139,NA
BNT14,BMB10,NA,C1053,M0049,NA
BOO14,YOG06,FRT03,C4885,M0539,D269
BRY14,HIR03,NA,C3922,M0054,NA
BSG14,VES10,SPD01,C2173,M0187,D053
BZK14,LUT10,RUM03,C1664,M0675,D336
CAM14,MNM07,MRY02,C5697,M0862,D139
CBT14,AZU08,WBEYS,C5981,M0143,D198
CCH14,PAN06,STERN,C1141,M0848,D131
CDN14,HOC07,NEC06,C3302,M0007,D377
CET14,RUF02,SPD01,C6041,M0486,D053
CHM14,HOC05,FLG00,C4698,M0769,D071
CHY14,CHK07,FRT03,C3156,M0265,D269
CMA14,TWX08,FRR05,C1880,M0162,D018
CMT14,MLN00,GINGR,C0262,M0477,D069
CND14,TIN98,HEL05,C1277,M0085,D083
CNK14,BEA00,NA,C4957,M0449,NA
COM14,APA10,CLW00,C0431,M0510,D298
CPY14,MOU03,GLR07,C5456,M0384,D064
CRX14,LMS06,TTL06,C1813,M0629,D113
CSH14,WAL03,RUM04,C1649,M0642,D262
DAI14,MRG03,HAZ10,C0523,M0742,D388
DAK14,SOX08,NA,C4794,M0362,NA
DAW14,SLO05,SPL04,C0011,M0720,D460
DID14,FDL00,BRAVO,C5779,M0101,D204
DIN14,CMR05,CND07,C5169,M0677,D325
DRE14,PRC09,SYC02,C1461,M0391,D228
DUB14,STI02,BRAVO,C0988,M0596,D204
EDA14,CHD05,MOU05,C0427,M1002,D332
EDD14,RUF09,SARGA,C3952,M0480,D167
EMB14,CND04,BOM06,C5320,M0295,D494
FLU14,PCO06,FRR05,C1592,M0739,D018
GLR14,LPA02,MRY02,C1951,M0940,D139
HAZ14,LCH06,BOBBY,C3263,M0017,D380
HDX14,GTR06,GINGR,C5129,M0232,D069
HNY14,NEC08,TONKS,C2169,M0345,D360
HUR14,TSU10,BOM06,C1312,M0613,D494
KLP14,MTT10,BOM06,C2189,M0392,D494
LIA14,ARA09,ZAPHO,C4809,M0657,D174
LYR14,LUT08,HEL05,C1538,M0137,D083
MAJ14,PRC06,LAPHR,C4735,M0820,D405
MCCOY,NA,NA,C0835,NA,NA
MCD14,WAL06,ZAPHO,C4992,M0319,D174
MCQ14,PPL11,SHAGG,C2514,M0744,D031
MCU14,MNG09,MRY02,C1331,M0452,D139
MIC14,SCR04,FRT03,C2871,M0694,D269
MNM14,CHN03,ZAPHO,C1706,M0910,D174
MOH14,APA08,NA,C5252,M0708,NA
MOJ14,GNB10,NA,C3270,M0381,NA
MTT14,TNG99,SPD01,C0760,M0217,D053
NAV14,SEQ05,MOU05,C3479,M0458,D332
ONY14,RBY05,SPD01,C2804,M0305,D053
ORA14,ANM02,GLR07,C2663,M0417,D064
ORY14,JAE02,NA,C3198,M1026,NA
OYS14,SLL09,NA,C1457,M0552,NA
PCN14,WAL02,STERN,C1276,M0425,D131
PPL14,FRT07,SHAGG,C0435,M0853,D031
PRC14,TRT98,ZAPHO,C4852,M0367,D174
PSS14,CND06,SPD01,C5737,M0492,D053
QTZ14,TIC07,RUM04,C5824,M0373,D262
RAS14,MTT08,ZAPHO,C1583,M0360,D174
RDD14,CLK04,SYC02,C0426,M0436,D228
RHE14,OXY05,STERN,C2802,M0181,D131
RSS14,SCT09,NA,C1507,M0320,NA
SALAM,NA,NA,C5382,NA,NA
SCP14,EID03,SYC02,C5882,M0489,D228
SDY14,RUM09,PLT07,C3423,M0622,D068
SLK14,RPP11,NA,C4295,M0313,NA
SOA14,BRY10,NEC06,C5869,M0911,D377
SOX14,SEQ01,SARGA,C0441,M0880,D167
SPY14,RPP08,MOU05,C1057,M0487,D332
STN14,LMS05,BOM06,C0169,M0696,D494
SULUU,NA,NA,C3146,NA,NA
TNQ14,GNB07,MOZ02,C3350,M0869,D230
TOK14,SLA07,NA,C2902,M0908,NA
TSU14,MNS03,NEC06,C5360,M0339,D377
TTL14,LMS00,SARGA,C5047,M0616,D167
TWIXY,NA,NA,C2721,NA,NA
TWX14,WIS01,NA,C2728,M0255,NA
UHA14,D0526,CND07,C4570,M0403,D325
UKL14,FDL99,BRAVO,C0831,M0652,D204
ULU14,DID06,NA,C2598,M0478,NA
USS14,MEE05,NA,C5372,M0476,NA
VES14,NET02,STERN,C0276,M0433,D131
VIP14,VES06,RUM04,C1084,M0881,D262
WIC14,SOX09,SARGA,C4064,M0127,D167
WLK14,SLL07,STERN,C0814,M0242,D131
WSD14,MLR96,HAZ10,C1113,M0715,D388
XEN14,GLR11,NA,C6039,M0838,NA
ZEP14,WHF07,SYC02,C5900,M0097,D228
ABS13,IVO99,NA,C5319,M0549,NA
ALI13,EMB08,D0553,C5262,M0352,D015
ALL13,PUF06,MOZ02,C0478,M0131,D230
AME13,OPA08,SPD01,C3115,M0937,D053
APA13,SEQ99,FRT03,C0486,M0895,D269
ARA13,HED01,RUM04,C4263,M0001,D262
ARB13,COF01,LAPHR,C3310,M0408,D405
ASB13,HOO05,SPD01,C2323,M0219,D053
AYE13,MEE03,AIDAN,C5325,M1014,D196
AZU13,CRM01,LAPHR,C2024,M0088,D405
BIJ13,OPA07,ROGER,C1340,M0191,D207
BMA13,CHN06,LAPHR,C5648,M0651,D405
BMB13,SSK06,ROGER,C0704,M0139,D207
BOO13,YOG06,SHAGG,C2786,M0539,D031
BRY13,HIR03,JAE05,C0110,M0054,D026
CAM13,MNM07,WBEYS,C3751,M0862,D198
CBH13,CCK07,NA,C5769,M0439,NA
CBS13,ZUC03,SPD01,C1565,M0985,D053
CBT13,AZU08,NA,C0298,M0143,NA
CDN13,HOC07,JAE05,C4529,M0007,D026
CET13,RUF02,ALD99,C5629,M0486,D154
CHD13,BIE01,MOU05,C0213,M0314,D332
CHEKO,NA,NA,C5248,NA,NA
CHK13,SOX04,TTL06,C5820,M0147,D113
CHM13,HOC05,AIDAN,C4508,M0769,D196
CLR13,ZUC01,SPD01,C3297,M0166,D053
CND13,TIN98,ROGER,C1965,M0085,D207
CPY13,MOU03,NA,C3540,M0384,NA
